Date,No of Trans,Max,Min,Close,Volume
2016-08-24,68.0,984.0,951.0,970.0,7338.0
2016-08-28,57.0,980.0,958.0,965.0,5090.0
2016-08-29,82.0,995.0,965.0,983.0,14088.0
2016-08-30,82.0,1002.0,983.0,999.0,16862.0
2016-08-31,81.0,1005.0,985.0,999.0,19708.0
2016-09-01,115.0,1010.0,990.0,998.0,15887.0
2016-09-04,85.0,1029.0,989.0,1020.0,13611.0
2016-09-05,159.0,1056.0,1020.0,1043.0,34803.0
2016-09-06,106.0,1055.0,1011.0,1028.0,25608.0
2016-09-07,278.0,1065.0,1011.0,1065.0,62511.0
2016-09-08,90.0,1058.0,1040.0,1054.0,15717.0
2016-09-11,151.0,1075.0,1042.0,1050.0,29449.0
2016-09-12,161.0,1060.0,1048.0,1050.0,29095.0
2016-09-14,95.0,1059.0,1046.0,1050.0,11695.0
2016-09-18,105.0,1052.0,1035.0,1050.0,11307.0
2016-09-20,254.0,1071.0,1040.0,1044.0,42584.0
2016-09-21,169.0,1045.0,1020.0,1025.0,24012.0
2016-09-22,248.0,1032.0,997.0,1019.0,31362.0
2016-09-25,762.0,1020.0,990.0,995.0,114461.0
2016-09-26,61.0,690.0,659.0,675.0,10691.0
2016-09-27,48.0,684.0,672.0,672.0,4456.0
2016-09-28,18.0,677.0,670.0,672.0,1414.0
2016-09-29,29.0,670.0,660.0,670.0,3261.0
2016-10-02,35.0,684.0,670.0,680.0,4644.0
2016-10-03,24.0,690.0,670.0,672.0,2351.0
2016-10-04,26.0,680.0,667.0,668.0,7550.0
2016-10-05,13.0,680.0,667.0,680.0,1002.0
2016-10-06,18.0,690.0,670.0,683.0,2238.0
2016-10-16,15.0,703.0,679.0,683.0,1795.0
2016-10-17,26.0,683.0,660.0,669.0,3931.0
2016-10-18,19.0,675.0,661.0,670.0,1206.0
2016-10-19,29.0,670.0,660.0,665.0,3950.0
2016-10-20,23.0,677.0,661.0,669.0,2944.0
2016-10-23,38.0,665.0,655.0,655.0,6226.0
2016-10-24,34.0,661.0,649.0,653.0,7673.0
2016-10-25,32.0,650.0,640.0,645.0,3856.0
2016-10-26,26.0,650.0,640.0,642.0,4364.0
2016-10-27,21.0,645.0,630.0,638.0,2964.0
2016-11-03,9.0,650.0,626.0,645.0,906.0
2016-11-07,23.0,646.0,615.0,625.0,1784.0
2016-11-08,45.0,630.0,605.0,610.0,5340.0
2016-11-09,53.0,613.0,594.0,600.0,5406.0
2016-11-10,50.0,607.0,596.0,600.0,4874.0
2016-11-13,37.0,610.0,598.0,600.0,7038.0
2016-11-14,51.0,609.0,595.0,600.0,6752.0
2016-11-15,41.0,612.0,590.0,596.0,7995.0
2016-11-16,39.0,600.0,588.0,595.0,4803.0
2016-11-17,41.0,595.0,580.0,580.0,5087.0
2016-11-20,34.0,571.0,530.0,556.0,6046.0
2016-11-21,54.0,565.0,541.0,555.0,6653.0
2016-11-22,44.0,560.0,538.0,550.0,6174.0
2016-11-23,64.0,540.0,520.0,525.0,9827.0
2016-11-24,62.0,540.0,523.0,527.0,10536.0
2016-11-27,95.0,528.0,500.0,502.0,14556.0
2016-11-28,96.0,535.0,480.0,525.0,20030.0
2016-11-29,71.0,560.0,505.0,555.0,6827.0
2016-11-30,108.0,589.0,550.0,576.0,17082.0
2016-12-01,91.0,590.0,556.0,575.0,12639.0
2016-12-04,43.0,571.0,558.0,558.0,3739.0
2016-12-05,31.0,558.0,530.0,545.0,3418.0
2016-12-06,37.0,555.0,540.0,550.0,3030.0
2016-12-07,24.0,553.0,543.0,550.0,1850.0
2016-12-08,32.0,550.0,540.0,540.0,4444.0
2016-12-11,27.0,541.0,529.0,530.0,3290.0
2016-12-12,11.0,530.0,515.0,525.0,1484.0
2016-12-14,30.0,535.0,525.0,530.0,5246.0
2016-12-15,27.0,542.0,530.0,542.0,4365.0
2016-12-18,52.0,540.0,525.0,540.0,6847.0
2016-12-19,53.0,535.0,520.0,520.0,6963.0
2016-12-20,47.0,530.0,505.0,520.0,9974.0
2016-12-21,32.0,525.0,500.0,511.0,6654.0
2016-12-22,46.0,513.0,506.0,513.0,8026.0
2016-12-26,57.0,510.0,497.0,497.0,7763.0
2016-12-27,54.0,506.0,483.0,495.0,10568.0
2016-12-28,30.0,505.0,495.0,498.0,5725.0
2016-12-29,115.0,526.0,502.0,526.0,19494.0
2017-01-01,125.0,555.0,535.0,545.0,18373.0
2017-01-02,138.0,560.0,545.0,545.0,19457.0
2017-01-03,78.0,550.0,530.0,530.0,8202.0
2017-01-04,39.0,535.0,510.0,530.0,6130.0
2017-01-05,37.0,533.0,520.0,528.0,8287.0
2017-01-08,26.0,529.0,520.0,524.0,5593.0
2017-01-09,35.0,540.0,521.0,540.0,5545.0
2017-01-10,41.0,550.0,540.0,540.0,4148.0
2017-01-11,32.0,550.0,540.0,540.0,8359.0
2017-01-12,30.0,546.0,531.0,542.0,5428.0
2017-01-15,21.0,542.0,530.0,534.0,2339.0
2017-01-16,25.0,536.0,527.0,527.0,2058.0
2017-01-17,24.0,529.0,523.0,523.0,3270.0
2017-01-18,21.0,530.0,520.0,520.0,3386.0
2017-01-19,22.0,529.0,521.0,528.0,1913.0
2017-01-22,32.0,531.0,526.0,526.0,2773.0
2017-01-23,28.0,524.0,520.0,520.0,2679.0
2017-01-24,40.0,530.0,500.0,508.0,7839.0
2017-01-25,148.0,505.0,480.0,490.0,25727.0
2017-01-26,159.0,490.0,455.0,460.0,33136.0
